timestamp,coin,signal,price,short_ma,long_ma
2025-11-17 10:36:00,TAO,HOLD,322.3,,
2025-11-17 10:40:00,TAO,HOLD,322.3,,
2025-11-17 15:12:00,TAO,SELL,324.6,326.158,326.2065
2025-11-17 15:13:00,TAO,HOLD,324.2,326.11800000000005,326.2195
2025-11-17 18:53:00,TAO,SELL,328.7,329.242,329.24949999999995
2025-11-17 18:54:00,TAO,HOLD,328.5,329.23800000000006,329.26550000000003
2025-11-17 22:57:00,TAO,HOLD,313.2,316.21,323.38
2025-11-17 23:15:00,TAO,HOLD,314.7,314.24,322.28
2025-11-18 00:03:00,TAO,BUY,324.0,320.79,320.71
2025-11-18 00:05:00,TAO,HOLD,324.3,321.16,320.67
2025-11-18 01:14:00,TAO,HOLD,315.5,318.14,321.52
2025-11-18 01:15:00,TAO,HOLD,315.4,317.96,321.34
2025-11-18 01:16:00,TAO,HOLD,314.5,317.75,321.37
2025-11-18 01:22:00,TAO,HOLD,318.7,316.95,320.81
2025-11-18 02:46:00,TAO,SELL,318.0,320.70,320.75
2025-11-18 02:47:00,TAO,HOLD,317.0,320.45,320.76
2025-11-18 05:22:00,TAO,BUY,313.9,311.95,311.84
2025-11-18 05:23:00,TAO,HOLD,314.4,312.10,311.85
2025-11-18 06:30:00,TAO,SELL,309.2,312.20,312.20
2025-11-18 06:31:00,TAO,HOLD,309.5,312.10,312.20
2025-11-18 07:19:00,TAO,BUY,313.9,311.48,311.40
2025-11-18 07:20:00,TAO,HOLD,313.3,311.65,311.43
2025-11-18 08:23:00,TAO,SELL,311.3,312.54,312.62
2025-11-18 08:24:00,TAO,HOLD,310.9,312.46,312.64
2025-11-18 09:15:00,TAO,BUY,313.4,312.78,312.71
2025-11-18 09:16:00,TAO,HOLD,312.6,312.83,312.69
2025-11-18 09:34:00,TAO,SELL,309.8,311.98,312.08
2025-11-18 09:35:00,TAO,HOLD,309.7,311.87,312.04
2025-11-18 09:56:00,TAO,HOLD,312.2,310.32,311.83
2025-11-18 09:58:00,TAO,HOLD,313.7,311.74,311.84
2025-11-18 09:59:00,TAO,HOLD,314.3,311.66,312.09
2025-11-18 10:01:00,TAO,HOLD,314.3,310.91,311.76
2025-11-18 10:07:00,TAO,BUY,316.2,311.94,311.82
2025-11-18 10:08:00,TAO,HOLD,317.7,311.94,311.98
2025-11-18 10:10:00,TAO,BUY,317.9,312.07,312.03
2025-11-18 10:11:00,TAO,HOLD,318.2,312.15,312.05
2025-11-18 15:36:00,TAO,SELL,316.8,320.09,320.12
2025-11-18 15:37:00,TAO,HOLD,315.8,320.03,320.14
2025-11-18 17:58:00,TAO,BUY,322.6,320.12,320.09
2025-11-18 18:00:00,TAO,HOLD,323.1,320.28,320.12
2025-11-18 20:39:00,TAO,SELL,317.8,319.35,319.38
2025-11-18 20:40:00,TAO,HOLD,317.8,319.30,319.37
2025-11-19 00:01:00,TAO,BUY,319.5,319.61,319.61
2025-11-19 00:04:00,TAO,HOLD,319.0,319.63,319.58
2025-11-19 08:22:00,TAO,SELL,333.8,334.26,334.28
2025-11-19 08:23:00,TAO,HOLD,333.8,334.26,334.30
2025-11-19 17:27:00,TAO,BUY,326.7,324.56,324.52
2025-11-19 17:28:00,TAO,HOLD,327.3,324.64,324.50
2025-11-19 19:03:00,TAO,SELL,321.1,322.47,322.50
2025-11-19 19:04:00,TAO,HOLD,321.1,322.42,322.49
2025-11-19 22:47:00,TAO,BUY,325.6,322.01,321.97
2025-11-19 22:48:00,TAO,HOLD,325.2,322.05,321.96
2025-11-20 01:28:00,TAO,SELL,313.7,321.12,321.16
2025-11-20 01:29:00,TAO,HOLD,312.8,321.01,321.14
2025-11-20 06:22:00,TAO,BUY,325.8,311.89,311.88
2025-11-20 06:23:00,TAO,HOLD,327.3,312.10,311.89
2025-11-20 15:47:00,TAO,SELL,327.4,327.50,327.51
2025-11-20 15:48:00,TAO,HOLD,327.3,327.48,327.51
2025-11-20 16:53:00,TAO,BUY,331.7,327.51,327.50
2025-11-20 16:54:00,TAO,HOLD,331.6,327.55,327.51
2025-11-20 22:07:00,TAO,BUY,330.6,328.36,328.34
2025-11-20 22:08:00,TAO,HOLD,330.6,328.39,328.35
2025-11-20 23:27:00,TAO,HOLD,327.8,327.10,325.10
2025-11-20 23:39:00,TAO,HOLD,327.1,327.51,327.28
2025-11-20 23:41:00,TAO,SELL,325.8,326.98,327.23
