timestamp,price
2025-11-21 03:04:00,306.4
2025-11-21 03:05:00,306.7
2025-11-21 03:06:00,308.4
2025-11-21 03:07:00,307.1
2025-11-21 03:08:00,307.2
2025-11-21 03:09:00,307.2
2025-11-21 03:10:00,307.5
2025-11-21 03:11:00,307.1
2025-11-21 03:12:00,306.9
2025-11-21 03:13:00,306.9
2025-11-21 03:14:00,308.0
2025-11-21 03:15:00,308.3
2025-11-21 03:16:00,308.0
2025-11-21 03:17:00,307.9
2025-11-21 03:18:00,307.6
2025-11-21 03:19:00,307.2
2025-11-21 03:20:00,308.5
2025-11-21 03:21:00,308.2
2025-11-21 03:22:00,307.3
2025-11-21 03:23:00,306.7
2025-11-21 03:24:00,307.3
2025-11-21 03:25:00,306.6
2025-11-21 03:26:00,306.7
2025-11-21 03:27:00,306.3
2025-11-21 03:28:00,306.0
2025-11-21 03:29:00,306.7
2025-11-21 03:30:00,306.8
2025-11-21 03:31:00,307.2
2025-11-21 03:32:00,306.9
2025-11-21 03:33:00,306.2
2025-11-21 03:34:00,305.5
2025-11-21 03:35:00,306.0
